INSPECTION_TYPE,JOB_TICKET_OR_WORK_ORDER_ID,JOB_ID,JOB_PROGRESS,BBL,BORO_CODE,BLOCK,LOT,HOUSE_NUMBER,STREET_NAME,ZIP_CODE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,BOROUGH,INSPECTION_DATE,RESULT,APPROVED_DATE,LOCATION
BAIT,1,PO12965,3,1011470035,1,01147,0035,104,WEST 76 STREET,10023,990505,223527,40.7802039792471,-73.9774144709456,Manhattan,10/14/2009 12:00:27 PM,Bait applied,10/14/2009 03:01:46 PM,"(40.7802039792471, -73.9774144709456)"
BAIT,2,PO12966,3,1011470034,1,01147,0034,102,WEST 76 STREET,10023,990516,223521,40.7801875030438,-73.977374757787,Manhattan,10/14/2009 12:51:21 PM,Bait applied,10/14/2009 03:02:30 PM,"(40.7801875030438, -73.977374757787)"
BAIT,30,PO16966,3,2043370027,2,04337,0027,620,THWAITES PLACE,10467,1020110,252216,40.8588765781972,-73.8703636422023,Bronx,11/09/2009 12:59:55 PM,Bait applied,11/10/2009 02:54:52 PM,"(40.8588765781972, -73.8703636422023)"
BAIT,31,PO13665,3,2037670077,2,03767,0077,1227,WHITEPLAINS ROAD,10472,1022441,242180,40.8313209626148,-73.861994089899,Bronx,11/09/2009 11:10:16 AM,Bait applied,11/10/2009 02:56:42 PM,"(40.8313209626148, -73.861994089899)"
BAIT,38,PO11291,3,1011690057,1,01169,0057,2199,BROADWAY,10024,989641,224567,40.7830590725833,-73.9805333640688,Manhattan,11/10/2009 08:40:42 AM,Bait applied,11/17/2009 11:39:11 AM,"(40.7830590725833, -73.9805333640688)"
